"Date","Time","Variable","Value"
2018-07-18,"11:40:00","Humidity",46.97
2018-07-18,"11:45:00","Humidity",46.95
2018-07-18,"11:50:00","Humidity",46.76
2018-07-18,"11:55:00","Humidity",46.66
2018-07-18,"12:00:00","Humidity",46.53
2018-07-18,"12:05:00","Humidity",46.31
2018-07-18,"12:10:00","Humidity",46.36
2018-07-18,"12:15:00","Humidity",46.32
2018-07-18,"12:20:00","Humidity",46.21
2018-07-18,"12:25:00","Humidity",46.17
2018-07-18,"12:30:00","Humidity",46.11
2018-07-18,"12:35:00","Humidity",46.08
2018-07-18,"12:40:00","Humidity",46.05
2018-07-18,"12:45:00","Humidity",45.95
2018-07-18,"12:50:00","Humidity",46.04
2018-07-18,"12:55:00","Humidity",46.06
2018-07-18,"13:00:00","Humidity",45.81
2018-07-18,"13:05:00","Humidity",45.73
2018-07-18,"13:10:00","Humidity",45.68
2018-07-18,"13:15:00","Humidity",45.68
2018-07-18,"13:20:00","Humidity",45.78
2018-07-18,"13:25:00","Humidity",45.88
2018-07-18,"13:30:00","Humidity",45.79
2018-07-18,"13:35:00","Humidity",45.5
2018-07-18,"13:40:00","Humidity",45.52
2018-07-18,"13:45:00","Humidity",45.46
2018-07-18,"13:50:00","Humidity",45.47
2018-07-18,"13:55:00","Humidity",45.42
2018-07-18,"14:00:00","Humidity",45.4
2018-07-18,"14:05:00","Humidity",45.41
2018-07-18,"14:10:00","Humidity",45.34
2018-07-18,"14:15:00","Humidity",45.42
2018-07-18,"14:20:00","Humidity",45.62
2018-07-18,"14:25:00","Humidity",45.74
2018-07-18,"14:30:00","Humidity",45.57
2018-07-18,"14:35:00","Humidity",45.49
2018-07-18,"14:40:00","Humidity",45.73
2018-07-18,"14:45:00","Humidity",45.96
2018-07-18,"14:50:00","Humidity",46.34
2018-07-18,"14:55:00","Humidity",46.34
2018-07-18,"15:00:00","Humidity",46.29
2018-07-18,"15:05:00","Humidity",46.38
2018-07-18,"15:10:00","Humidity",46.36
2018-07-18,"15:15:00","Humidity",46.29
