"","mNeighborhood","YearMonth","Gun","Any.Weapon","Num.Crimes"
"205","Downtown",200011,"0",0,314
"206","Dwight",200011,"0",0,171
"207","East Rock",200011,"0",0,123
"208","East Shore",200011,"0",0,25
"209","Edgewood",200011,"0",0,114
"210","Fair Haven",200011,"0",0,338
"211","Fair Haven Heights",200011,"0",0,60
"212","Hill",200011,"0",0,409
"213","Long Wharf",200011,"0",0,87
"214","Newhallville",200011,"0",0,182
"215","Prospect Hill",200011,"0",0,84
"216","Quinnipiac",200011,"0",0,89
"217","West River",200011,"0",0,105
"218","West Rock",200011,"0",0,133
"219","Westville",200011,"0",0,46
"220","Wooster Square/Mill River",200011,"0",0,136
"221","Amity",200012,"0",0,122
"222","Annex",200012,"0",0,103
"223","Beaver Hills",200012,"0",0,104
"224","Dixwell",200012,"0",0,135
"225","Downtown",200012,"0",0,264
"226","Dwight",200012,"0",0,146
"227","East Rock",200012,"0",0,112
"228","East Shore",200012,"0",0,30
"229","Edgewood",200012,"0",0,115
"230","Fair Haven",200012,"0",0,308
"231","Fair Haven Heights",200012,"0",0,65
"232","Hill",200012,"0",0,387
"233","Long Wharf",200012,"0",0,97
"234","Newhallville",200012,"0",0,156
"235","Prospect Hill",200012,"0",0,79
"236","Quinnipiac",200012,"0",0,92
"237","West River",200012,"0",0,88
"238","West Rock",200012,"0",0,115
"239","Westville",200012,"0",0,42
"240","Wooster Square/Mill River",200012,"0",0,125
"241","Amity",200101,"0",0,120
"242","Annex",200101,"0",0,90
"243","Beaver Hills",200101,"0",0,96
"244","Dixwell",200101,"0",0,139
"245","Downtown",200101,"0",0,395
"246","Dwight",200101,"0",0,152
"247","East Rock",200101,"0",0,118
"248","East Shore",200101,"0",0,42
"249","Edgewood",200101,"0",0,139
"250","Fair Haven",200101,"0",0,310
"251","Fair Haven Heights",200101,"0",0,79
"252","Hill",200101,"0",0,542
"253","Long Wharf",200101,"0",0,118
"254","Newhallville",200101,"0",0,161
"255","Prospect Hill",200101,"0",0,68
"256","Quinnipiac",200101,"0",0,91
"257","West River",200101,"0",0,109
"258","West Rock",200101,"0",0,116
"259","Westville",200101,"0",0,35
"260","Wooster Square/Mill River",200101,"0",0,145
"261","Amity",200102,"0",0,92
"262","Annex",200102,"0",0,81
"263","Beaver Hills",200102,"0",0,88
"264","Dixwell",200102,"0",0,123
"265","Downtown",200102,"0",0,368
"266","Dwight",200102,"0",0,162
"267","East Rock",200102,"0",0,106
"268","East Shore",200102,"0",0,41
"269","Edgewood",200102,"0",0,111
"270","Fair Haven",200102,"0",0,316
"271","Fair Haven Heights",200102,"0",0,74
"272","Hill",200102,"0",0,512
"273","Long Wharf",200102,"0",0,91
"274","Newhallville",200102,"0",0,149
"275","Prospect Hill",200102,"0",0,46
"276","Quinnipiac",200102,"0",0,96
"277","West River",200102,"0",0,104
"278","West Rock",200102,"0",0,108
"279","Westville",200102,"0",0,38
"280","Wooster Square/Mill River",200102,"0",0,136
"281","Amity",200103,"0",0,134
"282","Annex",200103,"0",0,118
"283","Beaver Hills",200103,"0",0,112
"284","Dixwell",200103,"0",0,183
"285","Downtown",200103,"0",0,368
"286","Dwight",200103,"0",0,115
"287","East Rock",200103,"0",0,139
"288","East Shore",200103,"0",0,32
"289","Edgewood",200103,"0",0,109
"290","Fair Haven",200103,"0",0,424
"291","Fair Haven Heights",200103,"0",0,96
"292","Hill",200103,"0",0,532
"293","Long Wharf",200103,"0",0,114
"294","Newhallville",200103,"0",0,157
"295","Prospect Hill",200103,"0",0,58
"296","Quinnipiac",200103,"0",0,109
"297","West River",200103,"0",0,105
"298","West Rock",200103,"0",0,129
"299","Westville",200103,"0",0,42
"300","Wooster Square/Mill River",200103,"0",0,181
"301","Amity",200104,"0",0,138
"302","Annex",200104,"0",0,101
"303","Beaver Hills",200104,"0",0,109
"304","Dixwell",200104,"0",0,163
"305","Downtown",200104,"0",0,322
"306","Dwight",200104,"0",0,134
"307","East Rock",200104,"0",0,100
"308","East Shore",200104,"0",0,48
"309","Edgewood",200104,"0",0,119
"310","Fair Haven",200104,"0",0,402
"311","Fair Haven Heights",200104,"0",0,77
"312","Hill",200104,"0",0,590
"313","Long Wharf",200104,"0",0,121
"314","Newhallville",200104,"0",0,182
"315","Prospect Hill",200104,"0",0,53
"316","Quinnipiac",200104,"0",0,93
"317","West River",200104,"0",0,138
"318","West Rock",200104,"0",0,132
"319","Westville",200104,"0",0,57
"320","Wooster Square/Mill River",200104,"0",0,155
"321","Amity",200105,"0",0,165
"322","Annex",200105,"0",0,117
"323","Beaver Hills",200105,"0",0,127
"324","Dixwell",200105,"0",0,157
"325","Downtown",200105,"0",0,401
"326","Dwight",200105,"0",0,149
"327","East Rock",200105,"0",0,157
"328","East Shore",200105,"0",0,60
"329","Edgewood",200105,"0",0,116
"330","Fair Haven",200105,"0",0,452
"331","Fair Haven Heights",200105,"0",0,104
"332","Hill",200105,"0",0,529
"333","Long Wharf",200105,"0",0,101
"334","Newhallville",200105,"0",0,180
"335","Prospect Hill",200105,"0",0,68
"336","Quinnipiac",200105,"0",0,116
"337","West River",200105,"0",0,107
"338","West Rock",200105,"0",0,147
"339","Westville",200105,"0",0,60
"340","Wooster Square/Mill River",200105,"0",0,159
"341","Amity",200106,"0",0,137
"342","Annex",200106,"0",0,116
"343","Beaver Hills",200106,"0",0,110
"344","Dixwell",200106,"0",0,168
"345","Downtown",200106,"0",0,386
"346","Dwight",200106,"0",0,186
"347","East Rock",200106,"0",0,151
"348","East Shore",200106,"0",0,51
"349","Edgewood",200106,"0",0,110
"350","Fair Haven",200106,"0",0,458
"351","Fair Haven Heights",200106,"0",0,109
"352","Hill",200106,"0",0,574
"353","Long Wharf",200106,"0",0,154
"354","Newhallville",200106,"0",0,182
"355","Prospect Hill",200106,"0",0,68
"356","Quinnipiac",200106,"0",0,116
"357","West River",200106,"0",0,112
"358","West Rock",200106,"0",0,159
"359","Westville",200106,"0",0,76
"360","Wooster Square/Mill River",200106,"0",0,146
"361","Amity",200107,"0",0,119
"362","Annex",200107,"0",0,126
"363","Beaver Hills",200107,"0",0,133
"364","Dixwell",200107,"0",0,163
"365","Downtown",200107,"0",0,309
"366","Dwight",200107,"0",0,184
"367","East Rock",200107,"0",0,140
"368","East Shore",200107,"0",0,46
"369","Edgewood",200107,"0",0,144
"370","Fair Haven",200107,"0",0,469
"371","Fair Haven Heights",200107,"0",0,105
"372","Hill",200107,"0",0,588
"373","Long Wharf",200107,"0",0,114
"374","Newhallville",200107,"0",0,182
"375","Prospect Hill",200107,"0",0,72
"376","Quinnipiac",200107,"0",0,111
"377","West River",200107,"0",0,120
"378","West Rock",200107,"0",0,143
"379","Westville",200107,"0",0,68
"380","Wooster Square/Mill River",200107,"0",0,183
"381","Amity",200108,"0",0,129
"382","Annex",200108,"0",0,140
"383","Beaver Hills",200108,"0",0,118
"384","Dixwell",200108,"0",0,164
"385","Downtown",200108,"0",0,373
"386","Dwight",200108,"0",0,171
"387","East Rock",200108,"0",0,146
"388","East Shore",200108,"0",0,46
"389","Edgewood",200108,"0",0,142
"390","Fair Haven",200108,"0",0,474
"391","Fair Haven Heights",200108,"0",0,122
"392","Hill",200108,"0",0,633
"393","Long Wharf",200108,"0",0,120
"394","Newhallville",200108,"0",0,169
"395","Prospect Hill",200108,"0",0,64
"396","Quinnipiac",200108,"0",0,120
"397","West River",200108,"0",0,155
"398","West Rock",200108,"0",0,135
"399","Westville",200108,"0",0,72
"400","Wooster Square/Mill River",200108,"0",0,159
"401","Amity",200109,"0",0,128
"402","Annex",200109,"0",0,107
"403","Beaver Hills",200109,"0",0,129
"404","Dixwell",200109,"0",0,158
"405","Downtown",200109,"0",0,372
"406","Dwight",200109,"0",0,154
"407","East Rock",200109,"0",0,163
"408","East Shore",200109,"0",0,47
"409","Edgewood",200109,"0",0,121
"410","Fair Haven",200109,"0",0,405
"411","Fair Haven Heights",200109,"0",0,96
"412","Hill",200109,"0",0,498
"413","Long Wharf",200109,"0",0,115
"414","Newhallville",200109,"0",0,163
"415","Prospect Hill",200109,"0",0,69
"416","Quinnipiac",200109,"0",0,135
"417","West River",200109,"0",0,121
"418","West Rock",200109,"0",0,158
"419","Westville",200109,"0",0,56
"420","Wooster Square/Mill River",200109,"0",0,157
"421","Amity",200110,"0",0,125
"422","Annex",200110,"0",0,144
"423","Beaver Hills",200110,"0",0,121
"424","Dixwell",200110,"0",0,194
"425","Downtown",200110,"0",0,461
"426","Dwight",200110,"0",0,168
"427","East Rock",200110,"0",0,142
"428","East Shore",200110,"0",0,34
"429","Edgewood",200110,"0",0,111
"430","Fair Haven",200110,"0",0,440
"431","Fair Haven Heights",200110,"0",0,86
"432","Hill",200110,"0",0,683
"433","Long Wharf",200110,"0",0,136
"434","Newhallville",200110,"0",0,197
"435","Prospect Hill",200110,"0",0,71
"436","Quinnipiac",200110,"0",0,99
"437","West River",200110,"0",0,124
"438","West Rock",200110,"0",0,144
"439","Westville",200110,"0",0,53
"440","Wooster Square/Mill River",200110,"0",0,184
"441","Amity",200111,"0",0,141
"442","Annex",200111,"0",0,109
"443","Beaver Hills",200111,"0",0,157
"444","Dixwell",200111,"0",0,151
"445","Downtown",200111,"0",0,346
"446","Dwight",200111,"0",0,136
"447","East Rock",200111,"0",0,142
"448","East Shore",200111,"0",0,27
"449","Edgewood",200111,"0",0,135
"450","Fair Haven",200111,"0",0,363
"451","Fair Haven Heights",200111,"0",0,98
"452","Hill",200111,"0",0,563
"453","Long Wharf",200111,"0",0,101
"454","Newhallville",200111,"0",0,213
"455","Prospect Hill",200111,"0",0,60
"456","Quinnipiac",200111,"0",0,105
"457","West River",200111,"0",0,132
"458","West Rock",200111,"0",0,128
"459","Westville",200111,"0",0,60
"460","Wooster Square/Mill River",200111,"0",0,138
"461","Amity",200112,"0",0,109
"462","Annex",200112,"0",0,99
"463","Beaver Hills",200112,"0",0,111
"464","Dixwell",200112,"0",0,144
"465","Downtown",200112,"0",0,311
"466","Dwight",200112,"0",0,130
"467","East Rock",200112,"0",0,111
"468","East Shore",200112,"0",0,15
"469","Edgewood",200112,"0",0,121
"470","Fair Haven",200112,"0",0,347
"471","Fair Haven Heights",200112,"0",0,72
"472","Hill",200112,"0",0,468
"473","Long Wharf",200112,"0",0,86
"474","Newhallville",200112,"0",0,161
"475","Prospect Hill",200112,"0",0,56
"476","Quinnipiac",200112,"0",0,135
