"time","response","mean","lower","upper","baseline","metric"
123,2.61153172,3.34042137588818,1.65974045942732,5.08552827720451,NA,"original"
124,2.63668891,3.34266269982172,1.53108787681863,5.18039311263044,NA,"original"
125,3.363368867,3.34506850779167,1.60960918101909,5.00813218518941,NA,"original"
126,3.966115483,3.34691764099797,1.5348493601828,5.07739208706696,NA,"original"
127,3.660414712,3.34917892882331,1.58864251820374,5.02980020633626,NA,"original"
128,5.228633453,3.35143192207012,1.58591750921745,5.08405031544223,NA,"original"
129,5.444766747,3.35321451709229,1.64917026635523,5.20855899347776,NA,"original"
130,4.796654115,3.35477043131252,1.56816613861779,5.06277618297629,NA,"original"
131,4.025989738,3.35647487018508,1.56593479268559,5.13098734653023,NA,"original"
132,3.801256203,3.35798515463706,1.49438211287241,5.10322441229362,NA,"original"
133,3.761913956,3.35916838796823,1.64977324415799,5.11320071467655,NA,"original"
134,3.510875019,3.36063409643437,1.45927599151028,5.24445489941997,NA,"original"
135,3.851717623,3.36171747892161,1.50989328850576,5.10317346727322,NA,"original"
136,2.300276333,3.36290895794941,1.70314436886739,5.07317759008637,NA,"original"
137,4.177796465,3.36338951375087,1.72553945588004,5.08232251276001,NA,"original"
138,3.06115958,3.36485264061361,1.52707098741092,5.09559303017229,NA,"original"
139,2.18010169,3.36627805984573,1.62191924998517,5.05869135492388,NA,"original"
140,3.079421337,3.36749071232147,1.47833892674891,5.08030551751166,NA,"original"
141,3.711091177,3.36873466487629,1.72223493850773,5.12710229379408,NA,"original"
142,2.604475252,3.37085526915794,1.56323028484946,5.02410497917593,NA,"original"
143,3.501650421,3.37233084162551,1.61161516866934,5.08308821492206,NA,"original"
144,3.934360645,3.37405149668375,1.6638823322391,5.10942361587134,NA,"original"
145,4.374593661,3.37559091897876,1.62565079593823,5.1554687874306,NA,"original"
146,4.469616999,3.37684660490846,1.75953316421713,5.0303942654602,NA,"original"
147,5.644585653,3.37785143689418,1.67280866248137,5.24423528700931,NA,"original"
148,5.28099231,3.37881807107356,1.65175413938536,5.08538535855748,NA,"original"
149,4.323464429,3.37917300173054,1.59010881336998,5.10041229800605,NA,"original"
150,4.205520118,3.37894228537513,1.70184707785957,5.09048391576752,NA,"original"
151,3.796782818,3.37976026397829,1.63608998534867,5.11261241452503,NA,"original"
152,3.568441957,3.38097356967879,1.60194202020524,5.25102655434024,NA,"original"
153,3.54390266,3.38106594144655,1.67607318478074,5.10543130823113,NA,"original"
154,3.153314717,3.3817447015489,1.65845629662117,4.97101317285635,NA,"original"
155,1.975737147,3.38178408106256,1.56659976327391,5.32483893330422,NA,"original"
156,3.866579073,3.38202223471328,1.6362964092239,5.22763783151063,NA,"original"
157,3.60660331,3.38288821480014,1.56625901092628,5.16790758721654,NA,"original"
158,2.360756476,3.38347090957033,1.56978222159404,5.19966796756303,NA,"original"
159,2.877917924,3.38393884904157,1.64358729211038,5.07697189911093,NA,"original"
160,3.564902048,3.3855883290323,1.62979959838258,5.14636166899713,NA,"original"
161,3.06285389,3.38653595724449,1.62708614044551,5.21239538402454,NA,"original"
162,3.931327826,3.38766503057295,1.5310367055603,5.07075105551108,NA,"original"
163,3.485182049,3.3887053247281,1.4545652453176,5.12151932674414,NA,"original"
164,4.167810868,3.38940346524022,1.5397099388714,5.10569421934281,NA,"original"
165,4.57163505,3.38988239229581,1.6772916624631,4.96977116183274,NA,"original"
166,5.257725799,3.38989674784694,1.58028992448503,5.08218337703085,NA,"original"
167,5.258184683,3.39023665213901,1.53420949624677,5.13759472733942,NA,"original"
168,3.858196125,3.38951059442073,1.66041400758847,5.11203314432017,NA,"original"
169,3.588208512,3.39003259066612,1.74138436805448,5.09847845872225,NA,"original"
170,3.10066483,3.39021281809786,1.72985654277016,5.21137642292397,NA,"original"
171,3.402943678,3.39010755510544,1.65891618842037,5.27056555911531,NA,"original"
172,3.210350261,3.39022631409721,1.46623920266376,5.14095734679965,NA,"original"
173,2.82702025,3.39032890590648,1.56131717482448,5.12142617956893,NA,"original"
174,2.913604782,3.39044346247667,1.58876796637996,5.43748455806043,NA,"original"
175,3.637801356,3.39037199145117,1.58551215670293,5.20347868359018,NA,"original"
176,3.157930437,3.39027035597858,1.62295986119978,5.0650201709682,NA,"original"
177,3.328700343,3.39016041125893,1.74540425069531,5.29052988262359,NA,"original"
178,3.422238683,3.38986288794179,1.53735665959667,5.15397641989149,NA,"original"
179,4.058376626,3.39040989843149,1.65187675931171,5.14595642030234,NA,"original"
180,4.14249755,3.38995372348577,1.62776270613423,5.09470955129041,NA,"original"
181,4.061652932,3.38945027807651,1.67960680518805,5.07905948910987,NA,"original"
182,5.02876609,3.38929913968112,1.66650337293155,5.15344062456226,NA,"original"
183,5.15902857,3.38978078306228,1.62818451491888,5.14964738112914,NA,"original"
184,4.932178575,3.39015844539592,1.71768818077372,5.22429026851171,NA,"original"
185,6.550110957,3.39012360251449,1.60219621568353,5.15133784724721,NA,"original"
186,5.765627316,3.3904241465277,1.73733192464201,4.99826305841151,NA,"original"
187,4.266070556,3.39029720045479,1.664194308097,5.2239408853786,NA,"original"
188,4.708015409,3.39022861080621,1.59638848621474,5.1798796118663,NA,"original"
189,4.980797515,3.39005290170296,1.4863674607837,5.21388940652419,NA,"original"
190,5.682062925,3.39076809648278,1.70957414929746,5.29851014825668,NA,"original"
191,5.72391631,3.39060771337621,1.66141936946719,5.24752946831858,NA,"original"
192,4.029987936,3.39085543445656,1.62750576932877,5.15493300696643,NA,"original"
193,4.449756727,3.3910804542766,1.6581820520212,5.22737872518459,NA,"original"
194,3.939801104,3.3907988976864,1.54503031604553,5.04940087471448,NA,"original"
195,5.330215715,3.39077441234831,1.59515714214996,5.0777483156474,NA,"original"
196,4.151380397,3.39088397763995,1.56357090961628,5.16892255485782,NA,"original"
197,3.023365582,3.39071031762843,1.62380329206072,5.18214326655017,NA,"original"
198,2.757194558,3.39056242461524,1.66466581165686,5.14726060981172,NA,"original"
199,2.80137996,3.39031897625704,1.68414576669298,5.10368054853552,NA,"original"
200,5.180231356,3.39006696206812,1.74023159686283,5.08311881348091,NA,"original"
201,2.653117768,3.39067787611613,1.72931787525242,5.14201836740972,NA,"original"
202,3.945998814,3.39069731482891,1.59372469269777,5.22470824586407,NA,"original"
203,2.022057965,3.39063176328203,1.61328236414893,5.17638619905448,NA,"original"
204,0.947889677,3.39071057539683,1.80950131275659,5.20905585120781,NA,"original"
205,1.831477035,3.39030202816723,1.51545751731932,5.32062155860077,NA,"original"
206,1.744552239,3.39101463958001,1.59539312053489,5.18373131162183,NA,"original"
207,1.19801061,3.39062869846735,1.66276329173336,5.11156023541779,NA,"original"
208,1.821380302,3.39061754707645,1.58169514353758,5.09339400602902,NA,"original"
209,1.819561062,3.39049255306297,1.68719259160988,5.03876854498996,NA,"original"
210,2.23007931,3.39039915499083,1.64817079359354,5.19839923721146,NA,"original"
211,3.04439753,3.39066653600079,1.52736957302868,5.0745956020681,NA,"original"
212,2.821284415,3.39107232767803,1.60096721737728,5.18869763923237,NA,"original"
213,2.178830652,3.39116875122812,1.66117567000225,5.06829802439932,NA,"original"
214,2.112610095,3.39087148916127,1.66625601814012,5.0567794886146,NA,"original"
215,3.19752959,3.39028237215255,1.76525484424461,5.15216221560899,NA,"original"
216,4.277250329,3.39073982153577,1.73055534701075,5.07132539442642,NA,"original"
217,2.872992769,3.39065090820681,1.66433965058429,5.15439813655088,NA,"original"
218,4.717381361,3.39087138657726,1.69241596143184,5.08441102290036,NA,"original"
219,3.890096973,3.3908909819242,1.63613481317123,5.21058705737482,NA,"original"
220,4.418951247,3.39105156338106,1.50045494979229,5.14722138413331,NA,"original"
221,4.209112618,3.39094108002386,1.75661058388122,5.13066107150426,NA,"original"
222,1.879670493,3.39111083908186,1.68332373726412,5.2248277062669,NA,"original"
223,0.814206129,3.39045903023281,1.63825508228985,5.16734507468561,NA,"original"
224,0.67375709,3.39056285736127,1.76576817731143,5.10864480477005,NA,"original"
225,2.279321352,3.39072530804594,1.65092803061265,5.14321212477516,NA,"original"
226,2.424103727,3.39082303705842,1.45080303079448,5.08865315410127,NA,"original"
227,3.438417902,3.39131736239295,1.6291911226103,5.1446828869008,NA,"original"
228,2.612475717,3.39162074854014,1.75796019135784,5.25187358583876,NA,"original"
229,1.641845758,3.39118411458508,1.70401539400405,5.20678695223263,NA,"original"
230,1.404205956,3.39100523658867,1.7299680717722,5.12941634369309,NA,"original"
231,1.306799772,3.3907762323636,1.60924809035752,5.01189639006712,NA,"original"
232,2.133448244,3.39024688464079,1.69183198722203,5.10299955753967,NA,"original"
233,2.893745511,3.39041490607029,1.7893835481701,5.08204420214513,NA,"original"
234,2.990571784,3.39051400040333,1.60069467575625,5.1189375640896,NA,"original"
235,3.334630491,3.3908107904476,1.58006199747892,5.33809384354107,NA,"original"
236,3.482294668,3.39071609630971,1.62209981283281,5.12965454555686,NA,"original"
237,3.524036162,3.3908784385663,1.60310048874132,5.20277541895628,NA,"original"
238,3.465804628,3.39096717778037,1.65799321899658,5.08243902458626,NA,"original"
239,3.397931221,3.39055691252084,1.59975946043674,4.99895464646379,NA,"original"
240,2.462813083,3.39063625709848,1.61844382432773,5.03354986999294,NA,"original"
241,0.781304358,3.39097597808729,1.64822016145287,5.13076869816351,NA,"original"
242,0.709972061,3.39118176699711,1.59105421161494,5.13868789804584,NA,"original"
243,0.927756572,3.39133886998764,1.75294070216598,5.1693417604531,NA,"original"
244,1.420498444,3.39121651294121,1.62903566614089,5.19512805346577,NA,"original"
245,1.638359613,3.39151242989613,1.69943555406991,5.15269766799281,NA,"original"
246,1.56846016,3.39109378962819,1.46677372469724,5.25715754930211,NA,"original"
247,2.035819914,3.39086686245608,1.61737165193886,5.22135726758038,NA,"original"
248,0.691716852,3.39126742116817,1.64431945413559,5.2199248956724,NA,"original"
249,1.737647603,3.39089916841621,1.64186654857672,5.10969087000299,NA,"original"
250,2.428703477,3.39145716578857,1.80011105705868,5.11795470883955,NA,"original"
251,3.723655991,3.39162248655702,1.6597200413117,5.2571286994434,NA,"original"
252,2.91845699,3.39173885432398,1.59058584194684,5.14397899063778,NA,"original"
253,2.287341828,3.39190441545465,1.67783243366751,5.36989113143883,NA,"original"
254,3.69871329,3.39175879692757,1.66085389244462,5.14151788013908,NA,"original"
255,3.712533836,3.39191477467149,1.65765438675271,5.09953427449292,NA,"original"
256,3.622835895,3.3921465036875,1.68419650529571,5.1907116314555,NA,"original"
257,3.401338168,3.39219854945359,1.50190715234307,5.28083689275019,NA,"original"
258,1.546424106,3.39221184645111,1.59401061985728,5.23312398875012,NA,"original"
259,0.819981645,3.39195275378909,1.64670044038368,5.10393230733109,NA,"original"
260,1.112257959,3.39239837345727,1.72596944149045,5.03132662600859,NA,"original"
261,1.899905167,3.39232113843893,1.70320551549326,5.15298488513217,NA,"original"
262,2.103934612,3.39200284541081,1.77780633304032,5.17782245481312,NA,"original"
263,2.012317161,3.39183923726476,1.46681862814336,5.15192161807778,NA,"original"
264,1.68707277,3.39218338261789,1.60372484931657,5.16538847243503,NA,"original"
265,1.3585438,3.39239814446175,1.444932878415,5.28801868545942,NA,"original"
266,1.627794357,3.39236379350364,1.60404343803553,5.10511719814657,NA,"original"
267,1.377373727,3.39202175932429,1.70608141908303,5.15442003491177,NA,"original"
268,1.358590656,3.39183923751455,1.6784718438118,5.05257677387394,NA,"original"
269,1.954748593,3.39103052772703,1.74182878233397,5.16198418810368,NA,"original"
270,2.686815041,3.39101615545387,1.49198976577748,5.26032935709883,NA,"original"
271,2.451793139,3.39081632072424,1.59347837161083,5.13787454047214,NA,"original"
272,3.296731521,3.39105119701779,1.66435518675997,5.12091382698879,NA,"original"
273,2.905594126,3.39082686423743,1.53756094844736,5.11532729194511,NA,"original"
274,3.871525222,3.39106736970468,1.6401113313705,5.29550624093257,NA,"original"
275,2.28142432,3.39095009997015,1.63477420804896,5.1316816675268,NA,"original"
276,0.983488865,3.39085623551024,1.54430341025601,5.09639680003547,NA,"original"
277,1.246675744,3.39120719408618,1.51157616291654,5.25008548612459,NA,"original"
278,2.319884187,3.39118038459673,1.52277430761847,5.10872502669306,NA,"original"
279,2.448538897,3.39114204878519,1.6082999505474,5.33457499966811,NA,"original"
280,1.510120503,3.39139332535763,1.64196585359913,5.28000191975525,NA,"original"
281,1.145183755,3.3915277713732,1.65020704630487,5.14308442738832,NA,"original"
282,1.166600935,3.39154067038844,1.56211787466547,5.10268230974377,NA,"original"
283,1.611242821,3.39140425910954,1.66014245804699,5.16772614269318,NA,"original"
284,0.766011938,3.39136332630273,1.63234753841415,5.15117992130238,NA,"original"
285,1.66130597,3.39123799504157,1.78007692502871,5.23086585196374,NA,"original"
286,2.375851127,3.39101346378041,1.53980953363068,5.14292798023743,NA,"original"
287,3.080980709,3.39105042236015,1.61721062082084,4.9987052211027,NA,"original"
288,2.714205484,3.39119293036492,1.7551658808711,5.09420246637673,NA,"original"
