"Date","Time","Variable","Value"
2020-01-03,"17:35:00","Glucose",79
2020-01-03,"17:40:00","Glucose",79
2020-01-03,"17:45:00","Glucose",76
2020-01-03,"17:50:00","Glucose",76
2020-01-03,"17:55:00","Glucose",74
2020-01-03,"18:00:00","Glucose",71
2020-01-03,"18:05:00","Glucose",68
2020-01-03,"18:10:00","Glucose",67
2020-01-03,"18:15:00","Glucose",64
2020-01-03,"18:20:00","Glucose",61
2020-01-03,"18:25:00","Glucose",60
2020-01-03,"18:30:00","Glucose",60
2020-01-03,"18:35:00","Glucose",62
2020-01-03,"18:40:00","Glucose",67
2020-01-03,"18:45:00","Glucose",76
2020-01-03,"18:50:00","Glucose",85
2020-01-03,"18:55:00","Glucose",92
2020-01-03,"19:00:00","Glucose",101
2020-01-03,"19:05:00","Glucose",107
2020-01-03,"19:10:00","Glucose",105
2020-01-03,"19:15:00","Glucose",103
2020-01-03,"19:20:00","Glucose",98
2020-01-03,"19:25:00","Glucose",96
2020-01-03,"19:30:00","Glucose",96
2020-01-03,"19:35:00","Glucose",96
2020-01-03,"19:40:00","Glucose",99
2020-01-03,"19:45:00","Glucose",101
2020-01-03,"19:50:00","Glucose",103
2020-01-03,"19:55:00","Glucose",103
2020-01-03,"20:00:00","Glucose",104
2020-01-03,"20:05:00","Glucose",104
2020-01-03,"20:10:00","Glucose",105
2020-01-03,"20:15:00","Glucose",103
2020-01-03,"20:20:00","Glucose",102
2020-01-03,"20:25:00","Glucose",100
2020-01-03,"20:30:00","Glucose",99
2020-01-03,"20:35:00","Glucose",99
2020-01-03,"20:40:00","Glucose",101
2020-01-03,"20:45:00","Glucose",100
2020-01-03,"20:50:00","Glucose",99
2020-01-03,"20:55:00","Glucose",96
2020-01-03,"21:00:00","Glucose",96
2020-01-03,"21:05:00","Glucose",95
2020-01-03,"21:10:00","Glucose",94
2020-01-03,"21:15:00","Glucose",93
2020-01-03,"21:20:00","Glucose",93
2020-01-03,"21:25:00","Glucose",93
2020-01-03,"21:30:00","Glucose",95
2020-01-03,"21:35:00","Glucose",95
2020-01-03,"21:40:00","Glucose",94
2020-01-03,"21:45:00","Glucose",94
2020-01-03,"21:50:00","Glucose",93
2020-01-03,"21:55:00","Glucose",92
2020-01-03,"22:00:00","Glucose",91
2020-01-03,"22:05:00","Glucose",90
2020-01-03,"22:10:00","Glucose",88
2020-01-03,"22:15:00","Glucose",87
2020-01-03,"22:20:00","Glucose",83
2020-01-03,"22:25:00","Glucose",83
2020-01-03,"22:30:00","Glucose",84
2020-01-03,"22:35:00","Glucose",84
2020-01-03,"22:40:00","Glucose",83
2020-01-03,"22:45:00","Glucose",81
2020-01-03,"22:50:00","Glucose",79
2020-01-03,"22:55:00","Glucose",78
2020-01-03,"23:00:00","Glucose",77
2020-01-03,"23:05:00","Glucose",77
2020-01-03,"23:10:00","Glucose",78
2020-01-03,"23:15:00","Glucose",78
2020-01-03,"23:20:00","Glucose",76
2020-01-03,"23:25:00","Glucose",65
2020-01-03,"23:30:00","Glucose",60
